Catalog ID,University,Program,Country,City,Department,Degree level,Intake,Duration,Language,Study mode,Deadline,Deadline note,Program website,Application portal,Admissions email,Tuition,Application fee,Funding,Funding website,Requirements,Language requirements,Minimum GPA,Professor name,Professor email,Professors (JSON),Notes,Source,Source URL,Last verified
starter-utoronto-msc-computer-science,University of Toronto,MSc Computer Science,Canada,Toronto,Computer Science,Master’s,Fall 2027,2 years,English,On campus,,Verify the current cycle on the official program page.,https://www.utoronto.ca/,,,,,,,,,,,,[],Starter record — verify before using.,Starter catalog,,Example record — verify
starter-tum-msc-informatics,TU Munich,MSc Informatics,Germany,Munich,Computer Science,Master’s,Fall 2027,2 years,English,On campus,,Verify the current cycle on the official program page.,https://www.tum.de/,,,,,,,,,,,,[],Starter record — verify before using.,Starter catalog,,Example record — verify
starter-kuleuven-msc-data-science,KU Leuven,MSc Data Science,Belgium,Leuven,Computer Science,Master’s,Fall 2027,2 years,English,On campus,,Verify the current cycle on the official program page.,https://www.kuleuven.be/,,,,,,,,,,,,[],Starter record — verify before using.,Starter catalog,,Example record — verify
starter-uva-msc-artificial-intelligence,University of Amsterdam,MSc Artificial Intelligence,Netherlands,Amsterdam,Informatics Institute,Master’s,Fall 2027,2 years,English,On campus,,Verify the current cycle on the official program page.,https://www.uva.nl/,,,,,,,,,,,,[],Starter record — verify before using.,Starter catalog,,Example record — verify
starter-edinburgh-msc-ai,University of Edinburgh,MSc Artificial Intelligence,United Kingdom,Edinburgh,School of Informatics,Master’s,Fall 2027,1 year,English,On campus,,Verify the current cycle on the official program page.,https://www.ed.ac.uk/,,,,,,,,,,,,[],Starter record — verify before using.,Starter catalog,,Example record — verify
starter-ubc-msc-computer-science,University of British Columbia,MSc Computer Science,Canada,Vancouver,Computer Science,Master’s,Fall 2027,2 years,English,On campus,,Verify the current cycle on the official program page.,https://www.ubc.ca/,,,,,,,,,,,,[],Starter record — verify before using.,Starter catalog,,Example record — verify
starter-eth-msc-data-science,ETH Zurich,MSc Data Science,Switzerland,Zurich,Computer Science,Master’s,Fall 2027,2 years,English,On campus,,Verify the current cycle on the official program page.,https://ethz.ch/,,,,,,,,,,,,[],Starter record — verify before using.,Starter catalog,,Example record — verify
starter-helsinki-msc-computer-science,University of Helsinki,MSc Computer Science,Finland,Helsinki,Computer Science,Master’s,Fall 2027,2 years,English,On campus,,Verify the current cycle on the official program page.,https://www.helsinki.fi/,,,,,,,,,,,,[],Starter record — verify before using.,Starter catalog,,Example record — verify
qs2027-it-polimi-msc-cse,Politecnico di Milano,MSc Computer Science and Engineering,Italy,Milan,Computer Science and Engineering,Master’s,Fall 2027,2 years (120 ECTS),English,On campus,,2027/28 deadline not confirmed; check the official admissions calendar.,https://www.polimi.it/en/education/laurea-programmes/programme-detail/computer-science-and-engineering,https://www.polimi.it/en/prospective-students,,,,Merit scholarships and tuition support may be available; verify the current call.,,Bachelor’s degree or equivalent; relevant computer science or engineering background; minimum grade average and English proof.,English-taught; an English language certificate is required.,,,,[],QS WUR 2027 global rank: #=87. Representative English-taught master’s; verify the 2027/28 cycle.,QS World University Rankings 2027 + official programme page,https://www.topuniversities.com/qs-top-uni-wur,2026-09-06
qs2027-it-sapienza-msc-cs,Sapienza University of Rome,MSc Computer Science,Italy,Rome,Department of Computer Science,Master’s,Fall 2027,2 years,English,On campus,,2027/28 deadline not confirmed; check the current English-taught programme call.,https://corsidilaurea.uniroma1.it/en/course/33508,https://www.uniroma1.it/en/pagina/call-applications-english-taught-programmes,info-computer-science-degrees@di.uniroma1.it,,,,,"Bachelor’s degree or equivalent; at least 90 CFU/ECTS in relevant computer science, mathematics and science areas; entry requirements and personal preparation are assessed.",English B2 or higher.,,,,[],QS WUR 2027 global rank: #=111. The current course catalogue lists this master’s as English-taught; verify the 2027/28 call.,QS World University Rankings 2027 + official programme page,https://www.topuniversities.com/qs-top-uni-wur,2026-09-06
qs2027-it-bologna-msc-ai,Alma Mater Studiorum - Università di Bologna,Master’s Degree in Artificial Intelligence,Italy,Bologna,Department of Computer Science and Engineering (DISI),Master’s,Fall 2027,2 years (120 ECTS),English,On campus,,2027/28 deadline not confirmed; check the official programme and admissions pages.,https://corsi.unibo.it/2cycle/artificial-intelligence,https://apply.unibo.it/,,,,,,Bachelor’s degree or equivalent; curricular requirements and personal preparation are assessed.,English B2 (CEFR).,,,,[],QS WUR 2027 global rank: #123. Entirely English-taught AI master’s; verify the 2027/28 cycle.,QS World University Rankings 2027 + official programme page,https://www.topuniversities.com/qs-top-uni-wur,2026-09-06
qs2027-it-padua-msc-data-science,Università di Padova,MSc Data Science,Italy,Padua,Department of Mathematics,Master’s,Fall 2027,2 years (120 ECTS),English,On campus,,2027/28 deadline not confirmed; check the University of Padua application portal.,https://www.unipd.it/en/corsi-di-laurea/data-science,https://apply.unipd.it/courses/course/33-data-science,,"€2,739/year listed on the current course page; verify 2027/28.",€60 listed on the current course page; verify 2027/28.,Merit- and income-based scholarships are available; verify eligibility.,,"Bachelor’s degree or equivalent with mathematics and computer science preparation, including calculus, linear algebra, probability, programming and algorithms.",English-taught; check the current proof requirements.,,,,[],QS WUR 2027 global rank: #204. Current course listing is the English-taught Data Science master’s; verify fees and dates for 2027/28.,QS World University Rankings 2027 + official programme page,https://www.topuniversities.com/qs-top-uni-wur,2026-09-06
qs2027-it-polito-msc-data-science,Politecnico di Torino,MSc Data Science and Engineering,Italy,Turin,Department of Control and Computer Engineering,Master’s,Fall 2027,2 years,English,On campus,,2027/28 deadline not confirmed; check the admissions calendar for applicants with a non-Italian qualification.,https://www.polito.it/en/education/master-s-degree-programmes/data-science-and-engineering,https://www.polito.it/en/education/applying-studying-graduating/admissions-and-enrolment/master-s-degree-programmes/applicants-with-a-non-italian-qualification,referente.lm.dse@polito.it,,,EDISU and other financial-aid options may be available; verify the current call.,,"Three-year degree in engineering, mathematics or a related field; admission is based on evaluation of the requirements.",English-taught; check the current admissions language requirements.,,,,[],QS WUR 2027 global rank: #=206. The official programme page lists the 2026/27 academic year; verify the next cycle.,QS World University Rankings 2027 + official programme page,https://www.topuniversities.com/qs-top-uni-wur,2026-09-06
qs2027-de-tum-msc-informatics,Technical University of Munich,MSc Informatics,Germany,Munich,"TUM School of Computation, Information and Technology",Master’s,Winter / Summer 2027,2 years (120 ECTS),English,On campus,,2027/28 application period should be checked on the official programme page.,https://www.cit.tum.de/en/cit/studies/degree-programs/master-informatics/,https://campus.tum.de/,,Tuition fees apply to students from non-EU countries; verify the current rate.,,,,Relevant undergraduate computer science foundation; the aptitude assessment is a two-stage process.,English-taught; English proficiency is required.,,,,[],QS WUR 2027 global rank: #25. Research-oriented Informatics master’s with summer and winter starts; verify the 2027/28 cycle.,QS World University Rankings 2027 + official programme page,https://www.topuniversities.com/qs-top-uni-wur,2026-09-06
qs2027-de-lmu-msc-informatics,Ludwig-Maximilians-Universität München,MSc Informatics,Germany,Munich,Institute for Informatics,Master’s,Winter / Summer 2027,2 years (4 semesters),German (some English),On campus,,The current page lists 15 July for winter and 15 January for summer; verify the 2027/28 dates.,https://www.ifi.lmu.de/studium/studiengaenge/master/master_informatik/index.html,https://www.efv.verwaltung.uni-muenchen.de/master_informatik,koordination-efvmaster@ifi.lmu.de,,,,,"Bachelor’s degree in computer science or a related field; an aptitude assessment is required.",Lectures are predominantly in German; sufficient German is required for enrollment. Verify the current study plan.,,,,[],"QS WUR 2027 global rank: #61. Strong overall ranking, but this programme is not a fully English-taught option; verify fit before applying.",QS World University Rankings 2027 + official programme page,https://www.topuniversities.com/qs-top-uni-wur,2026-09-06
qs2027-de-heidelberg-msc-data-computer-science,Universität Heidelberg,MSc Data and Computer Science,Germany,Heidelberg,Faculty of Mathematics and Computer Science,Master’s,Winter / Summer 2027,2 years (4 semesters),English,On campus,,The programme page directs applicants to the current subject-specific deadline information; verify 2027/28.,https://www.uni-heidelberg.de/en/study/all-subjects/computer-science/data-and-computer-science-master,,sekretariat@informatik.uni-heidelberg.de,"€189.80/semester listed on the current programme page; verify 2027/28.",,,,Consecutive master’s programme requiring a relevant computer science background and admission to a restricted programme.,English; the programme can be completed entirely in English.,,,,[],"QS WUR 2027 global rank: #86. Data-focused computer science programme with machine learning, data analysis and systems specialisms.",QS World University Rankings 2027 + official programme page,https://www.topuniversities.com/qs-top-uni-wur,2026-09-06
qs2027-de-fu-msc-computational-sciences,Freie Universität Berlin,MSc Computational Sciences,Germany,Berlin,Department of Mathematics and Computer Science,Master’s,Fall 2027,2 years (4 semesters; 120 ECTS),English (some German electives),On campus,,The current programme page lists a spring application period for fall entry; verify the 2027/28 dates.,https://www.compsci.fu-berlin.de/en/program_neu/index.html,,,No tuition; semester fees and contributions apply.,,,,Interdisciplinary computational background; limited admissions of approximately 20 seats.,"English, with some elective modules in German.",,,,[],"QS WUR 2027 global rank: #=98. English-taught computational science option linked to computer science, mathematics and the natural sciences.",QS World University Rankings 2027 + official programme page,https://www.topuniversities.com/qs-top-uni-wur,2026-09-06
qs2027-de-rwth-msc-data-science,RWTH Aachen University,MSc Data Science,Germany,Aachen,Faculty of Computer Science and Faculty of Mathematics,Master’s,Winter / Summer 2027,2 years (4 semesters),English,On campus,,Check the official admission page for the 2027/28 deadline by applicant profile.,https://sc.informatik.rwth-aachen.de/en/studium/master/master-data-science/,https://online.rwth-aachen.de/,data-science@informatik.rwth-aachen.de,,,,,"Bachelor’s degree in computer science, mathematics, physics or a closely related field with relevant data science preparation.",Completely offered in English; German proficiency is not required.,,,,[],"QS WUR 2027 global rank: #104. Two-year English-taught programme with computer science, mathematics and application-area specialisations.",QS World University Rankings 2027 + official programme page,https://www.topuniversities.com/qs-top-uni-wur,2026-09-06
